Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue ID,Venue Name,Venue Latitude,Venue Longitude,Venue Address,Category ID,Category Name,Category ICON,City
Red Hook,40.676253230250886,-74.0127589747356,50ff1a39d86c3b75d0fd788e,Hometown Bar-B-Que,40.67489886438639,-74.01617535995918,454 Van Brunt St (at Reed St),4bf58dd8d48988d1df931735,BBQ Joint,https://ss3.4sqi.net/img/categories_v2/food/bbqalt_.png,New York
Coney Island,40.57429256471601,-73.98868295821637,4dfd172ad4c001cca36ee4ac,MCU Park,40.574684916876095,-73.98464798927307,1904 Surf Ave,4bf58dd8d48988d18c941735,Baseball Stadium,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/stadium_baseball_.png,New York
Downtown,40.69084402109802,-73.98346337431099,5722dcad498e1dc59a10bca0,Alamo Drafthouse Cinema - Brooklyn,40.69101558292192,-73.98368571874677,445 Albee Square West (Fulton St.),4bf58dd8d48988d17f941735,Movie Theater,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/movietheater_.png,New York
Lincoln Square,40.77352888942166,-73.98533777001262,49e17f24f964a520d1611fe3,AMC Loews Lincoln Square 13,40.77494874429906,-73.98201292925947,1998 Broadway (at W 68th St),4bf58dd8d48988d17f941735,Movie Theater,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/movietheater_.png,New York
Midtown,40.75469110270623,-73.98166882730304,42829c80f964a5206a221fe3,Grand Central Terminal,40.75267452063865,-73.97754205953534,87 E 42nd St (btwn Vanderbilt & Park Ave),4bf58dd8d48988d129951735,Train Station,https://ss3.4sqi.net/img/categories_v2/travel/trainstation_.png,New York
Midtown,40.75469110270623,-73.98166882730304,3fd66200f964a520d7f11ee3,Bryant Park,40.75395491241381,-73.98398145637879,E 42nd St (btwn 5th & 6th Ave),4bf58dd8d48988d163941735,Park,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_.png,New York
Murray Hill,40.748303077252174,-73.97833207924127,42829c80f964a5206a221fe3,Grand Central Terminal,40.75267452063865,-73.97754205953534,87 E 42nd St (btwn Vanderbilt & Park Ave),4bf58dd8d48988d129951735,Train Station,https://ss3.4sqi.net/img/categories_v2/travel/trainstation_.png,New York
Murray Hill,40.748303077252174,-73.97833207924127,4a6a09fcf964a52072cc1fe3,Public House,40.750576116091054,-73.97616462044513,140 E 41st St (at Lexington Ave.),4bf58dd8d48988d116941735,Bar,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_.png,New York
Chelsea,40.744034706747975,-74.00311633472813,40f1d480f964a5206a0a1fe3,High Line,40.746825,-74.005507,btwn Gansevoort & W 34th St (btwn 10th & 12th Ave),4bf58dd8d48988d163941735,Park,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_.png,New York
Chelsea,40.744034706747975,-74.00311633472813,4a4138ebf964a520f9a41fe3,Cinépolis Chelsea,40.744970568160056,-73.9980991642575,260 W 23rd St (8th Ave),4bf58dd8d48988d17f941735,Movie Theater,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/movietheater_.png,New York
Chelsea,40.744034706747975,-74.00311633472813,41390580f964a520dc1a1fe3,Chelsea Market,40.74229610593119,-74.00588067574924,75 9th Ave (btwn W 15th & W 16th St),50be8ee891d4fa8dcc7199a7,Market,https://ss3.4sqi.net/img/categories_v2/shops/market_.png,New York
Financial District,40.70710710727048,-74.0106654452127,507f06e9e4b0d2368fcbada4,Fraunces Tavern,40.70352594119276,-74.01139528322373,54 Pearl St (at Broad St),4bf58dd8d48988d116941735,Bar,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_.png,New York
Civic Center,40.71522892046282,-74.00541529873355,5400dc65498e3831aab00327,Barleycorn,40.713274510432484,-74.00900982611613,23 Park Pl (Church St),4bf58dd8d48988d14e941735,American Restaurant,https://ss3.4sqi.net/img/categories_v2/food/default_.png,New York
Flatiron,40.739673047638426,-73.9909471052826,40b68100f964a5207d001fe3,Madison Square Park,40.74226204193276,-73.98800611495972,Madison Ave (btwn E 23rd & E 26th St),4bf58dd8d48988d163941735,Park,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_.png,New York
Fulton Ferry,40.70328109093014,-73.99550751888415,4a43bcb7f964a520bba61fe3,Brooklyn Bridge,40.70596749893083,-73.99670720100403,Brooklyn Bridge,4bf58dd8d48988d1df941735,Bridge,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/bridge_.png,New York
Fulton Ferry,40.70328109093014,-73.99550751888415,430d0a00f964a5203e271fe3,Brooklyn Bridge Park,40.702282,-73.996456,Main St (Plymouth St),4bf58dd8d48988d163941735,Park,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_.png,New York
